feature,class
"[-4.6090298e+02  6.5944778e+01 -2.6859393e+00  3.5617214e+01
  1.6467793e+01  1.2322610e+01 -7.0990758e+00 -4.8302717e+00
 -5.9201252e-01  6.6524882e+00 -6.6300359e+00  7.1270504e+00
 -6.0019855e+00  7.0536995e+00 -1.1547722e+00  3.7847850e+00
 -5.3063393e+00  6.7340841e+00 -4.2000031e+00  1.9389260e+00
 -5.0420423e+00  2.3548129e+00 -5.8542538e+00 -4.4242269e-01
 -1.6267139e+00  1.0433687e+00 -3.8886182e+00 -4.8841122e-01
  1.5734390e+00  6.7273088e-02 -6.0554434e-02  1.5909700e-01
 -1.1764934e+00  1.0714039e+00 -1.0077254e+00 -1.1296712e+00
 -1.5984221e+00 -1.4675101e+00 -2.7721232e-01 -3.0653872e+00]",Bill Burr
"[-4.5135828e+02  4.9243690e+01  2.2939372e+00  8.7287340e+00
 -1.0064029e+01  1.8957189e-01 -7.9099798e+00 -4.6168489e+00
 -1.0863126e+01  5.2330585e+00 -3.9582393e+00 -6.4080706e+00
 -9.2328901e+00 -4.9208069e+00 -5.8492479e+00 -2.9785736e+00
 -1.2263811e+01 -3.1446483e+00 -7.1900711e+00 -3.7542288e+00
 -3.4709563e+00 -4.3548980e+00 -3.3340809e+00 -1.2027746e+00
 -4.7461948e+00 -2.0472493e+00 -5.2459531e+00 -2.9151728e+00
 -2.8977108e+00 -2.7247844e+00 -1.6575413e+00 -1.7041184e+00
  1.2115121e+00  2.8621635e+00  4.2950959e+00  3.7073238e+00
  2.0673165e+00  5.9796814e-02 -1.9080821e+00 -1.6711190e+00]",Sarah Silverman
"[-338.65866     94.6305      -9.2020235   19.244984    -7.9867845
    0.4282496  -21.018845     2.2592661  -18.884144     3.7040627
  -14.723997     7.40482     -6.874789    -2.211249     2.5700116
   -0.9987139   -8.8391905    7.6093225   -7.7279963    2.130307
   -8.572226     2.1728709   -4.376775    -4.483961    -1.885971
   -1.4928434   -2.4768155    2.2179618   -0.8233738    3.17259
   -2.1492019    1.0830842    0.7351924   -0.8061255    2.2951598
    2.051126     3.405505     2.0223603    4.323897     4.121239 ]",Bill Burr
"[-3.9865082e+02  6.5180450e+01 -1.3518610e+01  9.4768610e+00
 -8.5922918e+00  5.2251348e+00 -1.7530813e+01 -8.4452171e+00
 -9.6238871e+00 -8.6013174e+00 -3.2157650e+00 -1.0318884e+00
 -1.1160388e+01 -1.9255254e+00 -9.3956957e+00  1.3958845e-01
 -1.1086907e+01 -3.9400437e+00 -7.0236111e+00 -6.5593119e+00
 -3.0947473e+00 -8.4636974e+00 -2.7950635e+00 -3.2977509e+00
 -4.2651277e+00 -2.8588247e+00 -4.8278050e+00 -2.6570327e+00
 -5.5844584e+00 -2.0730836e+00 -3.9629180e+00 -2.9850013e+00
 -2.6363020e+00 -3.2140369e+00 -2.2997985e+00 -1.3177392e+00
  1.4328527e+00  2.7980020e+00  6.4657531e+00  8.5608006e+00]",Sarah Silverman
"[-3.18609344e+02  1.11693756e+02 -3.37071896e+00  2.57499657e+01
  3.92156911e+00 -4.86034298e+00 -2.69431591e+00  3.20596552e+00
 -1.19411526e+01  1.24749441e+01 -1.41297894e+01  1.26333513e+01
 -1.00041494e+01  3.29321504e+00 -2.07185507e+00  2.74614185e-01
 -1.05879326e+01  3.56595755e+00 -3.02013993e+00 -3.52744317e+00
 -9.55582523e+00  1.52024341e+00 -9.59539223e+00 -4.58814621e+00
 -3.81679654e+00 -4.31945992e+00 -4.77304745e+00 -3.95610762e+00
 -3.36095142e+00 -5.17700148e+00 -3.77016973e+00 -4.20961094e+00
 -5.40492439e+00 -2.83089781e+00 -6.85002851e+00 -1.87926376e+00
 -5.53504753e+00 -2.69689345e+00 -4.50833941e+00 -3.60106444e+00]",Andrew Santino
"[-3.26532562e+02  7.49868851e+01 -1.85217035e+00  2.28322563e+01
 -1.13849258e+01  6.10080957e-01 -2.38651867e+01 -6.87522840e+00
 -1.76604519e+01 -1.03280983e+01 -1.43338280e+01 -9.43248844e+00
 -1.33817177e+01 -3.33281088e+00 -1.44282455e+01 -4.84433937e+00
 -1.20634089e+01 -4.51516390e+00 -1.33411875e+01 -5.92404890e+00
 -6.57784605e+00 -1.03046818e+01 -6.72690105e+00 -2.75862908e+00
 -7.38359976e+00 -4.16489172e+00 -4.17866707e+00 -7.40210962e+00
 -3.57740879e+00 -4.44830036e+00 -4.37605667e+00 -4.41340399e+00
 -4.85048008e+00 -1.09381604e+00 -2.34570384e+00 -4.28358316e-02
  4.24733073e-01  1.11992776e+00  2.09538102e+00  2.83051467e+00]",Sarah Silverman
"[-2.6464206e+02  5.3545181e+01 -2.3974646e+01 -7.2042459e-01
 -2.7000118e+01 -1.6507601e+01 -2.8376247e+01 -1.0327145e+01
 -2.7631248e+01 -1.4280471e+01 -2.3611992e+01 -7.3638973e+00
 -2.1858801e+01 -7.2563505e+00 -2.0074232e+01 -1.6784005e+00
 -1.2908271e+01 -4.2642406e-01 -6.3665667e+00  8.1789188e+00
  2.0722640e+00  4.2537994e+00  1.1977141e+00  7.4636612e+00
  6.5939701e-01  9.6599388e+00  4.7285943e+00  1.0338215e+00
  1.0613852e+00 -1.6988730e+00  3.6845462e+00  6.4454895e-01
  4.7613454e-01 -8.0987269e-01 -1.8131200e+00  2.2896235e+00
  8.9041507e-01  2.5220897e+00  2.7935491e-03 -1.3597866e+00]",Sarah Silverman
"[-4.0229407e+02  5.8512600e+01 -1.8596694e+00  4.2908096e+01
  4.4651766e+00 -1.0033842e+01 -2.0592306e+01 -3.5879121e+00
 -1.5397039e+01  5.0240526e+00 -2.4018042e+01  4.2513514e+00
 -8.3412752e+00 -4.5752764e+00 -3.0472198e+00 -7.4427361e+00
 -8.9598637e+00  1.2684385e+00 -1.1218920e+01 -1.1190849e-01
 -1.0564671e+01 -3.6164472e+00 -5.2951584e+00 -5.7292147e+00
 -3.8445501e+00 -6.8899951e+00 -4.1158586e+00 -8.3205538e+00
 -2.0047498e+00 -9.2197142e+00 -2.3893335e+00 -5.7303739e+00
 -5.7289639e+00 -4.0336690e+00 -3.5206702e+00 -4.0233850e+00
 -2.9159880e+00 -2.4825969e+00 -1.6737682e+00 -9.0526336e-01]",Andrew Santino
"[-2.6568628e+02  1.0435827e+02 -5.0507320e+01  2.0366821e+00
 -2.7691835e+01 -3.0884724e+00 -2.0691093e+01 -2.5656296e+01
 -1.4428717e+01  6.1579943e+00 -2.0866335e+01 -9.1150963e-01
 -6.4040308e+00 -7.2585673e+00 -1.2932441e+00 -9.7493773e+00
 -5.8437071e+00 -2.8747981e+00 -8.6855316e+00 -5.2172451e+00
 -9.9280243e+00 -6.9178920e+00 -2.2290926e+00  3.3258739e+00
 -3.8565836e+00  7.0750928e+00 -4.0080805e+00  3.7805405e-01
 -2.5433080e+00 -4.9312758e+00  2.1715295e+00  2.5521934e+00
  9.4718342e+00  5.3505702e+00  1.7148246e+00  1.0482335e+00
  1.0210599e-03 -1.1568182e-01 -4.4708381e+00 -2.6952693e+00]",Sofia Franklyn
"[-3.1649249e+02  9.1006325e+01 -9.1408663e+00  3.1454338e+01
  3.3542993e+00  4.1299973e+00 -1.3485758e+01 -6.4674397e+00
 -1.3763228e+01  8.8172731e+00 -1.5621385e+01  7.8570142e+00
 -9.3703547e+00 -3.1740658e+00 -6.3700156e+00 -2.6940542e-01
 -1.0693972e+01 -2.5908160e+00 -8.6272020e+00 -4.1230159e+00
 -9.6540012e+00 -3.0783587e+00 -6.5825648e+00 -5.4071813e+00
 -5.0513029e+00 -4.7093358e+00 -5.8072352e+00 -6.2638173e+00
 -5.4626551e+00 -5.1602569e+00 -4.5447583e+00 -3.3050463e+00
 -3.1222360e+00 -2.7350488e+00 -2.6909730e+00 -3.0644045e+00
 -8.1610996e-01 -1.4624403e+00 -2.9614213e-01  5.1557016e-01]",Andrew Santino
